Time resolution is 1 ps
[5450000 ns] led_out = 1111110000000000
[5470000 ns] led_out = 1111100000000000
[5490000 ns] led_out = 1111000000000000
[5510000 ns] led_out = 1111100000000000
[5530000 ns] led_out = 1111110000000000
[5550000 ns] led_out = 1111111000000000
[5570000 ns] led_out = 1111111100000000
[5590000 ns] led_out = 1111111000000000
[5610000 ns] led_out = 1111110000000000
[5630000 ns] led_out = 1111100000000000
[5650000 ns] led_out = 1111000000000000
[5670000 ns] led_out = 1110000000000000
[5690000 ns] led_out = 1100000000000000
[5710000 ns] led_out = 1000000000000000
[5730000 ns] led_out = 0000000000000000
[5750000 ns] led_out = 1000000000000000
[5770000 ns] led_out = 1100000000000000
[5790000 ns] led_out = 1110000000000000
[5810000 ns] led_out = 1111000000000000
[5830000 ns] led_out = 1110000000000000
[5850000 ns] led_out = 1100000000000000
[5870000 ns] led_out = 1000000000000000
[5890000 ns] led_out = 0000000000000000
[5910000 ns] led_out = 0000000000000001
[5930000 ns] led_out = 0000000000000011
[5950000 ns] led_out = 0000000000000111
[5970000 ns] led_out = 0000000000001111
[5990000 ns] led_out = 0000000000000111
[6010000 ns] led_out = 0000000000000011
[6030000 ns] led_out = 0000000000000001
[6050000 ns] led_out = 0000000000000000
[6070000 ns] led_out = 0000000000000001
[6090000 ns] led_out = 0000000000000011
[6110000 ns] led_out = 0000000000000111
[6130000 ns] led_out = 0000000000001111
[6150000 ns] led_out = 0000000000011111
[6170000 ns] led_out = 0000000000111111
[6190000 ns] led_out = 0000000001111111
[6210000 ns] led_out = 0000000011111111
[6230000 ns] led_out = 0000000001111111
[6250000 ns] led_out = 0000000000111111
[6270000 ns] led_out = 0000000000011111
[6290000 ns] led_out = 0000000000001111
[6310000 ns] led_out = 0000000000011111
[6330000 ns] led_out = 0000000000111111
[6350000 ns] led_out = 0000000001111111
[6370000 ns] led_out = 0000000011111111
[6390000 ns] led_out = 0000000111111111
[6410000 ns] led_out = 0000001111111111
[6430000 ns] led_out = 0000011111111111
[6450000 ns] led_out = 0000111111111111
[6470000 ns] led_out = 0000011111111111
[6490000 ns] led_out = 0000001111111111
[6510000 ns] led_out = 0000000111111111
[6530000 ns] led_out = 0000000011111111
[6550000 ns] led_out = 0000000111111111
[6570000 ns] led_out = 0000001111111111
[6590000 ns] led_out = 0000011111111111
[6610000 ns] led_out = 0000111111111111
[6630000 ns] led_out = 0001111111111111
[6650000 ns] led_out = 0011111111111111
[6670000 ns] led_out = 0111111111111111
[6690000 ns] led_out = 1111111111111111
[6710000 ns] led_out = 0111111111111111
[6730000 ns] led_out = 0011111111111111
[6750000 ns] led_out = 0001111111111111
[6770000 ns] led_out = 0000111111111111
[6790000 ns] led_out = 0001111111111111
[6810000 ns] led_out = 0011111111111111
[6830000 ns] led_out = 0111111111111111
[6850000 ns] led_out = 1111111111111111
[6870000 ns] led_out = 1111111111111110
[6890000 ns] led_out = 1111111111111100
[6910000 ns] led_out = 1111111111111000
[6930000 ns] led_out = 1111111111110000
[6950000 ns] led_out = 1111111111111000
[6970000 ns] led_out = 1111111111111100
[6990000 ns] led_out = 1111111111111110
[7010000 ns] led_out = 1111111111111111
[7030000 ns] led_out = 1111111111111110
[7050000 ns] led_out = 1111111111111100
[7070000 ns] led_out = 1111111111111000
[7090000 ns] led_out = 1111111111110000
[7110000 ns] led_out = 1111111111100000
[7130000 ns] led_out = 1111111111000000
[7150000 ns] led_out = 1111111110000000
[7170000 ns] led_out = 1111111100000000
[7190000 ns] led_out = 1111111110000000
[7210000 ns] led_out = 1111111111000000
[7230000 ns] led_out = 1111111111100000
[7250000 ns] led_out = 1111111111110000
[7270000 ns] led_out = 1111111111100000
[7290000 ns] led_out = 1111111111000000
[7310000 ns] led_out = 1111111110000000
[7330000 ns] led_out = 1111111100000000
[7350000 ns] led_out = 1111111000000000
[7370000 ns] led_out = 1111110000000000
[7390000 ns] led_out = 1111100000000000
[7410000 ns] led_out = 1111000000000000
[7430000 ns] led_out = 1111100000000000
[7450000 ns] led_out = 1111110000000000
[7470000 ns] led_out = 1111111000000000
[7490000 ns] led_out = 1111111100000000
[7510000 ns] led_out = 1111111000000000
[7530000 ns] led_out = 1111110000000000
[7550000 ns] led_out = 1111100000000000
[7570000 ns] led_out = 1111000000000000
[7590000 ns] led_out = 1110000000000000
[7610000 ns] led_out = 1100000000000000
[7630000 ns] led_out = 1000000000000000
[7650000 ns] led_out = 0000000000000000
[7670000 ns] led_out = 1000000000000000
[7690000 ns] led_out = 1100000000000000
[7710000 ns] led_out = 1110000000000000
[7730000 ns] led_out = 1111000000000000
[7750000 ns] led_out = 1110000000000000
[7770000 ns] led_out = 1100000000000000
[7790000 ns] led_out = 1000000000000000
[7810000 ns] led_out = 0000000000000000
[7830000 ns] led_out = 0000000000000001
[7850000 ns] led_out = 0000000000000011
[7870000 ns] led_out = 0000000000000111
[7890000 ns] led_out = 0000000000001111
[7910000 ns] led_out = 0000000000000111
[7930000 ns] led_out = 0000000000000011
[7950000 ns] led_out = 0000000000000001
========== TEST 2: Tat start_sig, ve IDLE ==========
[7970000 ns] led_out = 0000000000000000
========== TEST 3: Restart ==========
[8131000 ns] Restart!
[8170000 ns] led_out = 0000000000000001
[8190000 ns] led_out = 0000000000000011
[8210000 ns] led_out = 0000000000000111
[8230000 ns] led_out = 0000000000001111
[8250000 ns] led_out = 0000000000011111
[8270000 ns] led_out = 0000000000111111
[8290000 ns] led_out = 0000000001111111
[8310000 ns] led_out = 0000000011111111
[8330000 ns] led_out = 0000000001111111
[8350000 ns] led_out = 0000000000111111
[8370000 ns] led_out = 0000000000011111
[8390000 ns] led_out = 0000000000001111
[8410000 ns] led_out = 0000000000011111
[8430000 ns] led_out = 0000000000111111
[8450000 ns] led_out = 0000000001111111
[8470000 ns] led_out = 0000000011111111
[8490000 ns] led_out = 0000000111111111
[8510000 ns] led_out = 0000001111111111
[8530000 ns] led_out = 0000011111111111
[8550000 ns] led_out = 0000111111111111
[8570000 ns] led_out = 0000011111111111
[8590000 ns] led_out = 0000001111111111
[8610000 ns] led_out = 0000000111111111
[8630000 ns] led_out = 0000000011111111
[8650000 ns] led_out = 0000000111111111
[8670000 ns] led_out = 0000001111111111
[8690000 ns] led_out = 0000011111111111
[8710000 ns] led_out = 0000111111111111
[8730000 ns] led_out = 0001111111111111
[8750000 ns] led_out = 0011111111111111
[8770000 ns] led_out = 0111111111111111
[8790000 ns] led_out = 1111111111111111
[8810000 ns] led_out = 0111111111111111
